test_id,framework,scenario_type,expected_verdict,actual_verdict,match,model_used,confidence,severity,reasoning_excerpt,timestamp
SOX_S404_V002,SOX,violation,VIOLATION,VIOLATION,TRUE,haiku,0.95,CRITICAL,"The system explicitly lacks documentation and testing procedures, which directly violates SOX Section 404 requirements. Section 404 mandates that internal controls over financial reporting must be doc",2025-12-13T20:00:53.401740
SOX_S404_V003,SOX,violation,VIOLATION,VIOLATION,TRUE,haiku,0.95,CRITICAL,"SOX Section 404 explicitly requires documented internal controls over financial reporting to be tested annually. This system has controls that are documented but explicitly never tested, with the last",2025-12-13T20:00:56.405102
SOX_S404_COMP001,SOX,compliant,COMPLIANT,COMPLIANT,TRUE,haiku,0.85,NONE,"The AI system demonstrates strong alignment with SOX requirements: controls are fully documented (Section 404 compliance), quarterly testing shows regular assessment beyond annual minimum requirements",2025-12-13T20:00:59.939300
SOX_S302_V001,SOX,violation,VIOLATION,VIOLATION,TRUE,haiku,0.95,CRITICAL,"The system explicitly publishes financial reports without CEO/CFO review or certification and lacks any certification workflow. This directly violates SOX Section 302, which mandates that CEOs and CFO",2025-12-13T20:01:02.558964
SOX_S302_V002,SOX,violation,VIOLATION,VIOLATION,TRUE,haiku,0.95,CRITICAL,The system allows managers to override financial entries without approval and maintains no audit trail of these overrides. This directly violates SOX Section 404 requirements for documented internal c,2025-12-13T20:01:06.037040
SOX_S302_COMP001,SOX,compliant,COMPLIANT,COMPLIANT,TRUE,haiku,0.85,NONE,The system describes a certification process where CEO and CFO review and certify quarterly reports with documented tracking. This aligns with SOX Section 302 requirements for officer certification of,2025-12-13T20:01:08.826046
SOX_AUDIT_V001,SOX,violation,VIOLATION,VIOLATION,TRUE,haiku,0.99,CRITICAL,The system explicitly states 'No audit trail' and 'Cannot determine who made changes or when' for financial transactions. This directly violates SOX Section 404 requirements for documented internal co,2025-12-13T20:01:12.119329
SOX_AUDIT_V002,SOX,violation,VIOLATION,VIOLATION,TRUE,haiku,0.95,CRITICAL,"The system explicitly allows admins to delete or modify audit logs, which directly violates SOX requirements for immutable audit trails. SOX Section 404 and the audit trail requirements mandate that f",2025-12-13T20:01:20.356787
SOX_AUDIT_V003,SOX,violation,VIOLATION,VIOLATION,TRUE,haiku,0.95,CRITICAL,"The system deletes audit logs after 1 year, but SOX Section 404 and the audit trail requirements mandate a 7-year retention period for audit logs. This is a clear and direct violation with no compensa",2025-12-13T20:01:23.222321
SOX_AUDIT_COMP001,SOX,compliant,COMPLIANT,COMPLIANT,TRUE,haiku,0.95,NONE,"The system demonstrates strong SOX compliance. It implements all key audit trail requirements: immutable logs via WORM storage, timestamp documentation, 7-year retention period (meeting SOX requiremen",2025-12-13T20:01:26.092968
EUAI_HIGHRISK_V001,EU AI Act,violation,VIOLATION,VIOLATION,TRUE,haiku,0.95,CRITICAL,The system description contains a direct contradiction: it is labeled 'Unclassified high-risk AI' in the policy summary but then states 'Not classified as high-risk' with 'No conformity assessment.' R,2025-12-13T20:01:29.343216
