test_id,framework,expected_verdict,actual_verdict,match,model_used,confidence
GDPR_CONSENT_V001,GDPR,VIOLATION,VIOLATION,TRUE,sonnet,0.95
GDPR_CONSENT_GRAY001,GDPR,COMPLIANT,VIOLATION,FALSE,sonnet,0.9
SOX_S404_V001,SOX,VIOLATION,VIOLATION,TRUE,sonnet,0.95
SOX_S404_V002,SOX,VIOLATION,VIOLATION,TRUE,sonnet,0.95
SOX_S404_V003,SOX,VIOLATION,VIOLATION,TRUE,sonnet,0.95
SOX_S404_COMP001,SOX,COMPLIANT,COMPLIANT,TRUE,sonnet,0.85
SOX_S302_V001,SOX,VIOLATION,VIOLATION,TRUE,sonnet,0.95
SOX_S302_V002,SOX,VIOLATION,VIOLATION,TRUE,sonnet,0.95
SOX_S302_COMP001,SOX,COMPLIANT,COMPLIANT,TRUE,sonnet,0.8
SOX_AUDIT_V001,SOX,VIOLATION,VIOLATION,TRUE,sonnet,0.95
SOX_AUDIT_V002,SOX,VIOLATION,VIOLATION,TRUE,sonnet,0.95
SOX_AUDIT_V003,SOX,VIOLATION,VIOLATION,TRUE,sonnet,0.95
SOX_AUDIT_COMP001,SOX,COMPLIANT,COMPLIANT,TRUE,sonnet,0.8
EUAI_HIGHRISK_V001,EU AI Act,VIOLATION,VIOLATION,TRUE,sonnet,0.9
EUAI_HIGHRISK_V002,EU AI Act,VIOLATION,VIOLATION,TRUE,sonnet,0.95
EUAI_HIGHRISK_V003,EU AI Act,VIOLATION,VIOLATION,TRUE,sonnet,0.95
EUAI_HIGHRISK_V004,EU AI Act,VIOLATION,VIOLATION,TRUE,sonnet,0.9
EUAI_HIGHRISK_COMP001,EU AI Act,COMPLIANT,COMPLIANT,TRUE,sonnet,0.8
EUAI_PROHIBITED_V001,EU AI Act,VIOLATION,VIOLATION,TRUE,sonnet,0.95
EUAI_PROHIBITED_V002,EU AI Act,VIOLATION,VIOLATION,TRUE,sonnet,0.95
EUAI_PROHIBITED_V003,EU AI Act,VIOLATION,VIOLATION,TRUE,sonnet,0.95
EUAI_PROHIBITED_V004,EU AI Act,VIOLATION,VIOLATION,TRUE,sonnet,0.95
EUAI_PROHIBITED_GRAY001,EU AI Act,COMPLIANT,COMPLIANT,TRUE,sonnet,0.8
EUAI_TRANSPARENCY_V001,EU AI Act,VIOLATION,VIOLATION,TRUE,sonnet,0.95
EUAI_TRANSPARENCY_V002,EU AI Act,VIOLATION,VIOLATION,TRUE,sonnet,0.9
EUAI_TRANSPARENCY_V003,EU AI Act,VIOLATION,VIOLATION,TRUE,sonnet,0.9
EUAI_TRANSPARENCY_COMP001,EU AI Act,COMPLIANT,COMPLIANT,TRUE,sonnet,0.9
GDPR_ART22_V005,GDPR,VIOLATION,VIOLATION,TRUE,sonnet,0.95
GDPR_ART22_V006,GDPR,VIOLATION,VIOLATION,TRUE,sonnet,0.9
SOX_S404_V004,SOX,VIOLATION,VIOLATION,TRUE,sonnet,0.95
SOX_S404_GRAY001,SOX,COMPLIANT,COMPLIANT,TRUE,sonnet,0.75
EUAI_HIGHRISK_V005,EU AI Act,VIOLATION,VIOLATION,TRUE,sonnet,0.95
EUAI_HIGHRISK_V006,EU AI Act,VIOLATION,VIOLATION,TRUE,sonnet,0.9
GDPR_ART32_V004,GDPR,VIOLATION,VIOLATION,TRUE,sonnet,0.95
GDPR_ART17_V004,GDPR,VIOLATION,VIOLATION,TRUE,sonnet,0.85
SOX_AUDIT_V004,SOX,VIOLATION,VIOLATION,TRUE,sonnet,0.9
EUAI_TRANSPARENCY_V004,EU AI Act,VIOLATION,VIOLATION,TRUE,sonnet,0.95
GDPR_ART22_V007,GDPR,VIOLATION,VIOLATION,TRUE,sonnet,0.9
SOX_S302_V003,SOX,VIOLATION,VIOLATION,TRUE,sonnet,0.95
EUAI_PROHIBITED_V005,EU AI Act,VIOLATION,VIOLATION,TRUE,sonnet,0.9
GDPR_ART32_V005,GDPR,VIOLATION,VIOLATION,TRUE,sonnet,0.9
GDPR_ART22_GRAY003,GDPR,COMPLIANT,COMPLIANT,TRUE,sonnet,0.8
EUAI_HIGHRISK_GRAY001,EU AI Act,COMPLIANT,COMPLIANT,TRUE,sonnet,0.7
SOX_S404_V005,SOX,VIOLATION,VIOLATION,TRUE,sonnet,0.8
GDPR_ART22_V001,GDPR,VIOLATION,VIOLATION,TRUE,opus,0.85
GDPR_ART22_V002,GDPR,VIOLATION,VIOLATION,TRUE,opus,0.92
GDPR_ART22_V003,GDPR,VIOLATION,VIOLATION,TRUE,opus,0.92
GDPR_ART22_V004,GDPR,VIOLATION,VIOLATION,TRUE,opus,0.85
GDPR_ART22_GRAY001,GDPR,COMPLIANT,COMPLIANT,TRUE,opus,0.75
GDPR_ART22_GRAY002,GDPR,COMPLIANT,COMPLIANT,TRUE,opus,0.85
GDPR_ART22_COMP001,GDPR,COMPLIANT,COMPLIANT,TRUE,opus,0.85
GDPR_ART17_V001,GDPR,VIOLATION,VIOLATION,TRUE,opus,0.95
GDPR_ART17_V002,GDPR,VIOLATION,VIOLATION,TRUE,opus,0.85
GDPR_ART17_V003,GDPR,VIOLATION,VIOLATION,TRUE,opus,0.95
GDPR_ART17_COMP001,GDPR,COMPLIANT,COMPLIANT,TRUE,opus,0.85
GDPR_ART32_V001,GDPR,VIOLATION,VIOLATION,TRUE,opus,0.95
GDPR_ART32_V002,GDPR,VIOLATION,VIOLATION,TRUE,opus,0.92
GDPR_ART32_V003,GDPR,VIOLATION,VIOLATION,TRUE,opus,0.85
GDPR_ART32_COMP001,GDPR,COMPLIANT,COMPLIANT,TRUE,opus,0.65
GDPR_TRANSPARENCY_V001,GDPR,VIOLATION,VIOLATION,TRUE,opus,0.92
GDPR_CONSENT_V001,GDPR,VIOLATION,VIOLATION,TRUE,opus,0.95
GDPR_CONSENT_GRAY001,GDPR,COMPLIANT,VIOLATION,FALSE,opus,0.85
SOX_S404_V001,SOX,VIOLATION,VIOLATION,TRUE,opus,0.95
SOX_S404_V002,SOX,VIOLATION,VIOLATION,TRUE,opus,0.92
SOX_S404_V003,SOX,VIOLATION,VIOLATION,TRUE,opus,0.95
SOX_S404_COMP001,SOX,COMPLIANT,COMPLIANT,TRUE,opus,0.85
SOX_S302_V001,SOX,VIOLATION,VIOLATION,TRUE,opus,0.95
SOX_S302_V002,SOX,VIOLATION,VIOLATION,TRUE,opus,0.95
SOX_S302_COMP001,SOX,COMPLIANT,COMPLIANT,TRUE,opus,0.75
SOX_AUDIT_V001,SOX,VIOLATION,VIOLATION,TRUE,opus,0.95
SOX_AUDIT_V002,SOX,VIOLATION,VIOLATION,TRUE,opus,0.95
SOX_AUDIT_V003,SOX,VIOLATION,VIOLATION,TRUE,opus,0.95
SOX_AUDIT_COMP001,SOX,COMPLIANT,COMPLIANT,TRUE,opus,0.72
EUAI_HIGHRISK_V001,EU AI Act,VIOLATION,VIOLATION,TRUE,opus,0.95
EUAI_HIGHRISK_V002,EU AI Act,VIOLATION,VIOLATION,TRUE,opus,0.95
EUAI_HIGHRISK_V003,EU AI Act,VIOLATION,VIOLATION,TRUE,opus,0.95
EUAI_HIGHRISK_V004,EU AI Act,VIOLATION,VIOLATION,TRUE,opus,0.92
EUAI_HIGHRISK_COMP001,EU AI Act,COMPLIANT,COMPLIANT,TRUE,opus,0.85
EUAI_PROHIBITED_V001,EU AI Act,VIOLATION,VIOLATION,TRUE,opus,0.95
EUAI_PROHIBITED_V002,EU AI Act,VIOLATION,VIOLATION,TRUE,opus,0.95
EUAI_PROHIBITED_V003,EU AI Act,VIOLATION,VIOLATION,TRUE,opus,0.95
EUAI_PROHIBITED_V004,EU AI Act,VIOLATION,VIOLATION,TRUE,opus,0.95
EUAI_PROHIBITED_GRAY001,EU AI Act,COMPLIANT,COMPLIANT,TRUE,opus,0.72
EUAI_TRANSPARENCY_V001,EU AI Act,VIOLATION,VIOLATION,TRUE,opus,0.92
EUAI_TRANSPARENCY_V002,EU AI Act,VIOLATION,VIOLATION,TRUE,opus,0.85
EUAI_TRANSPARENCY_V003,EU AI Act,VIOLATION,VIOLATION,TRUE,opus,0.85
EUAI_TRANSPARENCY_COMP001,EU AI Act,COMPLIANT,COMPLIANT,TRUE,opus,0.92
GDPR_ART22_V005,GDPR,VIOLATION,VIOLATION,TRUE,opus,0.92
GDPR_ART22_V006,GDPR,VIOLATION,VIOLATION,TRUE,opus,0.85
SOX_S404_V004,SOX,VIOLATION,VIOLATION,TRUE,opus,0.95
SOX_S404_GRAY001,SOX,COMPLIANT,COMPLIANT,TRUE,opus,0.6
EUAI_HIGHRISK_V005,EU AI Act,VIOLATION,VIOLATION,TRUE,opus,0.95
EUAI_HIGHRISK_V006,EU AI Act,VIOLATION,VIOLATION,TRUE,opus,0.85
GDPR_ART32_V004,GDPR,VIOLATION,VIOLATION,TRUE,opus,0.95
GDPR_ART17_V004,GDPR,VIOLATION,VIOLATION,TRUE,opus,0.78
SOX_AUDIT_V004,SOX,VIOLATION,VIOLATION,TRUE,opus,0.92
EUAI_TRANSPARENCY_V004,EU AI Act,VIOLATION,VIOLATION,TRUE,opus,0.95
GDPR_ART22_V007,GDPR,VIOLATION,VIOLATION,TRUE,opus,0.85
SOX_S302_V003,SOX,VIOLATION,VIOLATION,TRUE,opus,0.95
EUAI_PROHIBITED_V005,EU AI Act,VIOLATION,VIOLATION,TRUE,opus,0.95
GDPR_ART32_V005,GDPR,VIOLATION,VIOLATION,TRUE,opus,0.85
GDPR_ART22_GRAY003,GDPR,COMPLIANT,COMPLIANT,TRUE,opus,0.75
EUAI_HIGHRISK_GRAY001,EU AI Act,COMPLIANT,COMPLIANT,TRUE,opus,0.45
SOX_S404_V005,SOX,VIOLATION,VIOLATION,TRUE,opus,0.85
