test_id,framework,scenario_type,policy_summary,ai_system_description,expected_verdict,expected_severity,difficulty,notes
GDPR_ART22_V006,GDPR,violation,"School admissions AI","AI ranks students for school placement. Rankings directly determine admissions. Parents not informed AI is used.",VIOLATION,CRITICAL,medium,"Automated decision affecting education access"
SOX_S404_V004,SOX,violation,"Conflict of interest","CFO has direct database access to modify financial records. No independent review required.",VIOLATION,CRITICAL,medium,"Segregation failure at executive level"
SOX_S404_GRAY001,SOX,gray_area,"Compensating controls","Segregation not possible in small company. Compensating controls include daily manager review.",COMPLIANT,NONE,hard,"Compensating controls may be acceptable"
EUAI_HIGHRISK_V005,EU AI Act,violation,"Biometric categorization","AI categorizes job applicants by inferred ethnicity and gender from photos.",VIOLATION,CRITICAL,easy,"Biometric categorization inferring sensitive attributes"
EUAI_HIGHRISK_V006,EU AI Act,violation,"Law enforcement AI","Predictive policing AI with no conformity assessment. Used to allocate patrol resources.",VIOLATION,CRITICAL,medium,"Law enforcement AI without compliance"
GDPR_ART32_V004,GDPR,violation,"Cloud misconfiguration","Customer database in S3 bucket set to public. 2M customer records exposed.",VIOLATION,CRITICAL,easy,"Critical security misconfiguration"
GDPR_ART17_V004,GDPR,violation,"Right to be forgotten denied","User requested deletion. Company refused citing 'legal requirements' without specifying which.",VIOLATION,MAJOR,medium,"Unjustified refusal of erasure request"
SOX_AUDIT_V004,SOX,violation,"Selective logging","Only successful transactions logged. Failed attempts and errors not captured.",VIOLATION,MAJOR,medium,"Incomplete audit trail"
EUAI_TRANSPARENCY_V004,EU AI Act,violation,"Emotion AI hidden","Workplace AI monitors employee emotions via camera. Employees not informed.",VIOLATION,CRITICAL,easy,"Hidden emotion recognition in workplace"
GDPR_ART22_V007,GDPR,violation,"Healthcare AI","AI automatically prioritizes patient appointments. High-risk patients deprioritized. No clinical review.",VIOLATION,CRITICAL,hard,"Automated healthcare decisions with significant effects"
SOX_S302_V003,SOX,violation,"Backdated entries","System allows backdating financial entries. No approval required. Used to 'smooth' quarterly results.",VIOLATION,CRITICAL,hard,"System enables financial manipulation"
EUAI_PROHIBITED_V005,EU AI Act,violation,"Emotion-based hiring","AI rejects candidates based on emotional analysis during video interviews. Candidates not informed.",VIOLATION,CRITICAL,medium,"Prohibited emotion recognition in employment"
GDPR_ART32_V005,GDPR,violation,"Insider threat","No monitoring of privileged access. DBAs can export all data without logging. No background checks.",VIOLATION,MAJOR,medium,"Inadequate insider threat controls"
GDPR_ART22_GRAY003,GDPR,gray_area,"Hybrid decision making","AI provides risk score. Human reviews all medium/high risk cases. Low risk auto-approved (5% of volume).",COMPLIANT,NONE,hard,"Mostly human oversight but some automation"
EUAI_HIGHRISK_GRAY001,EU AI Act,gray_area,"General purpose AI","LLM used for customer support. Could be used for high-risk purposes but currently just FAQs.",COMPLIANT,NONE,hard,"General purpose AI in low-risk application"
SOX_S404_V005,SOX,violation,"Override abuse","System has override for emergencies. Used 500 times last quarter. No review of override use.",VIOLATION,MAJOR,medium,"Control override not monitored"
GDPR_ART17_GRAY001,GDPR,gray_area,"Anonymization alternative","Instead of deletion, company offers anonymization. User data pseudonymized but retained.",COMPLIANT,NONE,hard,"Anonymization may satisfy erasure in some contexts"
